Time,Device ID,WCenter Lat,WCenter Lon,WCenter Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Fri Dec 01 10:51:00 IST 2017,,34.81072683,32.16937301,27.0,forestisthebest,c8:d7:19:d4:7c:73,PB2-690Y_device=PB2PRO,-93
Fri Dec 01 10:51:00 IST 2017,,34.81072496,32.16935941,30.01413247888562,spielman,7c:b7:33:2b:c4:52,model=SM-G950F_device=dreamlte,-81
Fri Dec 01 10:51:00 IST 2017,,34.81064193368,32.16916727728,35.538429025279996,forestisthebest,c8:d7:19:da:03:16,model=Lenovo,-54
Fri Dec 01 10:51:00 IST 2017,,34.81071870515259,32.16937085614105,30.408069243700115,edimax_5G_A9241C,74:da:38:a9:24:1c,PB2-690Y_device=PB2PRO,-84
Fri Dec 01 10:51:00 IST 2017,,34.81072496,32.16935941,29.898253124895344,evanson,7c:03:4c:fe:f6:68,model=SM-G950F_device=dreamlte,-93
Fri Dec 01 10:52:00 IST 2017,,34.81070436,32.16936666,31.0,forestisthebest-guest,c8:d7:19:d4:7c:75,model=SM-G950F_device=dreamlte,-94
Fri Dec 01 10:52:00 IST 2017,,34.81071870515259,32.16937085614105,30.408069243700115,edimax_5G_A9241C,74:da:38:a9:24:1c,model=Lenovo,-79
Fri Dec 01 10:53:00 IST 2017,,34.81072496,32.16935941,29.689306208958904,KaymeraDev,00:f6:63:15:58:81,PB2-690Y_device=PB2PRO,-84
Fri Dec 01 10:53:00 IST 2017,,34.81072496,32.16935941,29.689306208958904,KaymeraDev,00:f6:63:15:58:81,model=SM-G950F_device=dreamlte,-78
Fri Dec 01 10:53:00 IST 2017,,34.81072496,32.16935941,30.01413247888562,spielman,7c:b7:33:2b:c4:52,model=Lenovo,-73
Fri Dec 01 10:54:00 IST 2017,,34.81072496,32.16935941,29.898253124895344,evanson,7c:03:4c:fe:f6:68,PB2-690Y_device=PB2PRO,-80
Fri Dec 01 10:54:00 IST 2017,,34.81069492849091,32.16931426903848,33.97025437511504,BezeqNGN_001489_2.4GHz_1,c0:a0:bb:cb:59:5b,model=SM-G950F_device=dreamlte,-68
Fri Dec 01 10:54:00 IST 2017,,34.810811400954954,32.16961472513236,28.56655395303611,oved-main,74:da:39:54:b8:1d,model=Lenovo,-64
Fri Dec 01 10:55:00 IST 2017,,34.81068889,32.16935676,29.0,BezeqFree,62:be:f5:40:26:83,PB2-690Y_device=PB2PRO,-96
Fri Dec 01 10:55:00 IST 2017,,34.81066982,32.16923806,25.0,Home,34:36:3b:c2:be:b8,model=SM-G950F_device=dreamlte,-91
Fri Dec 01 10:55:00 IST 2017,,34.81068175,32.16921231,28.886321210000002,spielman,f4:f2:6d:34:56:54,model=Lenovo,-77
Fri Dec 01 10:55:00 IST 2017,,34.81066503,32.16917019,28.81036798,Jamcanup,74:da:38:c3:0d:6b,PB2-690Y_device=PB2PRO,-87
